,id,url,priority,page,fetched,price_currency,price_value,ad_id,posted_weekday,posted_time,posted_month,posted_day,posted_year,delivery_offered,price_negotiable,condition,year,make,model,current_location,import_duty_paid,mileage,transmission,four_wheel_drive,location,description
1514,1515,https://www.zoomtanzania.com/4x4s-suvs/2007-toyota-harrier-1179945?s=196cb096c83e7a600db18796bdcf0c34,silver,152,1,TSh,"30,000,000",1179945,Monday,11:23:00,October,01,2018,Yes,No,Used Abroad,2007,Toyota,Harrier,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Harrier (Unregistered)Model 2007 Cc 2390 Km 45800 Full Option leather seats
Price 30,000,000 + Registration.Mint Condition"
1515,1516,https://www.zoomtanzania.com/4x4s-suvs/1998-toyota-rav-4-1179936?s=196cb096c83e7a600db18796bdcf0c34,silver,152,1,TSh,"14,500,000",1179936,Monday,10:57:00,October,01,2018,Yes,No,Used,1998,Toyota,Rav 4,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Rav-4[DCX] Eng 3s Cc 1980 Mwaka 1998 Km 102000 Mint ConditionBei:14,500,000"
1516,1517,https://www.zoomtanzania.com/4x4s-suvs/1999-toyota-rav-4-1179932?s=196cb096c83e7a600db18796bdcf0c34,silver,152,1,TSh,"14,700,000",1179932,Monday,14:49:00,October,01,2018,Yes,No,Used,1999,Toyota,Rav 4,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Rav-4 [DEX] Eng 3s Cc 1998 Model 1999 Km 89000 Clean Condition Full DocumentsBei: 14,700,000"
1517,1518,https://www.zoomtanzania.com/minis/2004-toyota-alphard-1179927?s=196cb096c83e7a600db18796bdcf0c34,silver,152,1,TSh,"20,000,000",1179927,Monday,10:57:00,October,01,2018,Yes,No,Used Abroad,2004,Toyota,Alphard,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Alpard (Unregistered) Year 2004 Km 65000 4 Cylinder Double Sunroof Sports Rims Leather SitsPrice: 20,000,000/="
1518,1519,https://www.zoomtanzania.com/4x4s-suvs/1999-toyota-1179915?s=196cb096c83e7a600db18796bdcf0c34,silver,152,1,TSh,"6,000,000",1179915,Monday,10:49:00,October,01,2018,,No,Used,1999,Toyota,,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Make Toyota Rav4
Cc 1290
Year 1999
Fuel petrol
Clean car
Colour black
Price 6 million"
1519,1520,https://www.zoomtanzania.com/sedans/2006-toyota-brevis-1179907?s=196cb096c83e7a600db18796bdcf0c34,silver,152,1,TSh,"10,500,000",1179907,Monday,10:46:00,October,01,2018,,No,Used,2006,Toyota,Brevis,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Model brevis
Colour black
Cc 2490
Year 2006
Fuel petrol
Full option
Front camera
Rear camera
Km 62000
Price 10.5 million"
1520,1521,https://www.zoomtanzania.com/sedans/2005-subaru-legacy-1179903?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"8,500,000",1179903,Friday,03:43:00,November,02,2018,,No,Used,2005,Subaru,Legacy,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","Make Subaru
Model legacy
Cc 1990
Year 2005
In mint condition
Price 8.5 million"
1521,1522,https://www.zoomtanzania.com/4x4s-suvs/1999-toyota-rav4-1179902?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"14,500,000",1179902,Monday,10:49:00,October,01,2018,Yes,No,Used,1999,Toyota,,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Rav-4 [DEX] Eng 3s Cc 1998 Model 1999 Km 89000 Clean Condition Full Documents
Bei: 14,500,000"
1522,1523,https://www.zoomtanzania.com/minis/2005-toyota-noah-1179898?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"8,500,000",1179898,Monday,10:46:00,October,01,2018,,No,Used,2005,Toyota,Noah,In Tanzania,Yes,,Automatic,no,"Other Dar es Salaam District

Dar Es Salaam","TOYOTA NOAH
CC 1990
YEAR 2005
IN VERY GOOD CONDITION
PRICE : 8.5 MILION"
1523,1524,https://www.zoomtanzania.com/sedans/2002-toyota-altezza-1179897?s=712a167f48e0d96c2ef0e88c89264202,silver,153,1,TSh,"11,500,000",1179897,Friday,03:44:00,November,02,2018,Yes,No,Used Abroad,2002,Toyota,Altezza,In Tanzania,Yes,,Automatic,no,"Kinondoni, Mwenge

Dar Es Salaam","Toyota Alteza (Used in Japan) eng 1G Vvti Cc 1980 Km 91000 Year 2002 Mint ConditionPrice: 11,500,000/="
